Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Reverse Fly (Cable)",1,7.0,15,0,0,"10-15 Reps / Weight for each arm",,
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Reverse Fly (Cable)",2,7.0,15,0,0,,,
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Reverse Fly (Cable)",3,7.0,15,0,0,,,
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Hammer Curl (Dumbbell)",1,15.0,15,0,0,"10-15 Reps / Weight for each arm",,
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Hammer Curl (Dumbbell)",2,15.0,15,0,0,,,
2023-05-28 00:01:48,"Midnight Workout",1h 24m,"Hammer Curl (Dumbbell)",3,15.0,13,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Bench Press (Barbell)",1,85.0,8,0,0,"","Sundays",
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Bench Press (Barbell)",2,85.0,8,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Bench Press (Barbell)",3,85.0,8,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Incline Chest Press (Machine)",1,70.0,12,0,0,"",,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Incline Chest Press (Machine)",2,70.0,12,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Incline Chest Press (Machine)",3,70.0,12,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Lateral Raise (Cable)",1,7.0,14,0,0,"",,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Lateral Raise (Cable)",2,7.0,13,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Lateral Raise (Cable)",3,7.0,13,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Triceps Pushdown (Cable - Straight Bar)",1,10.0,12,0,0,"",,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Triceps Pushdown (Cable - Straight Bar)",2,10.0,12,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Triceps Pushdown (Cable - Straight Bar)",3,10.0,12,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Skullcrusher (Dumbbell)",1,15.0,12,0,0,"",,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Skullcrusher (Dumbbell)",2,15.0,9,0,0,,,
2023-05-28 21:38:54,"Chest & Triceps ",1h 36m,"Skullcrusher (Dumbbell)",3,15.0,7,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Shoulder Press (Plate Loaded)",1,36.0,12,0,0,"","Wednesday",
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Shoulder Press (Plate Loaded)",2,36.0,12,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Shoulder Press (Plate Loaded)",3,36.0,12,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Lateral Raise (Cable)",1,7.0,15,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Lateral Raise (Cable)",2,7.0,14,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Lateral Raise (Cable)",3,7.0,14,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Reverse Fly (Cable)",1,10.0,10,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Reverse Fly (Cable)",2,10.0,9,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Reverse Fly (Cable)",3,10.0,9,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Triceps Pushdown (Cable - Straight Bar)",1,10.0,15,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Triceps Pushdown (Cable - Straight Bar)",2,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Triceps Pushdown (Cable - Straight Bar)",3,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Incline Curl (Dumbbell)",1,10.0,15,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Incline Curl (Dumbbell)",2,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Incline Curl (Dumbbell)",3,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Skullcrusher (Dumbbell)",1,10.0,15,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Skullcrusher (Dumbbell)",2,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Skullcrusher (Dumbbell)",3,10.0,15,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Hammer Curl (Dumbbell)",1,15.0,16,0,0,"",,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Hammer Curl (Dumbbell)",2,15.0,16,0,0,,,
2023-05-31 10:45:20,"Shoulders & Arms",1h 47m,"Hammer Curl (Dumbbell)",3,15.0,16,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Shoulder Press (Plate Loaded)",1,36.0,12,0,0,"","Wednesday",
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Shoulder Press (Plate Loaded)",2,36.0,12,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Shoulder Press (Plate Loaded)",3,36.0,12,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Lateral Raise (Cable)",1,10.0,15,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Lateral Raise (Cable)",2,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Lateral Raise (Cable)",3,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Reverse Fly (Cable)",1,7.0,15,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Reverse Fly (Cable)",2,7.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Reverse Fly (Cable)",3,7.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Triceps Pushdown (Cable - Straight Bar)",1,50.0,15,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Triceps Pushdown (Cable - Straight Bar)",2,60.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Triceps Pushdown (Cable - Straight Bar)",3,70.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Incline Curl (Dumbbell)",1,10.0,15,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Incline Curl (Dumbbell)",2,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Incline Curl (Dumbbell)",3,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Skullcrusher (Dumbbell)",1,10.0,15,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Skullcrusher (Dumbbell)",2,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Skullcrusher (Dumbbell)",3,10.0,15,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Hammer Curl (Dumbbell)",1,20.0,13,0,0,"",,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Hammer Curl (Dumbbell)",2,20.0,11,0,0,,,
2023-06-13 21:25:08,"Shoulders & Arms",15h 46m,"Hammer Curl (Dumbbell)",3,20.0,10,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"AS Hack Squats",1,45.0,8,0,0,"","Always perform on Tuesdays",
2023-06-14 13:24:03,"Legs",1h 11m,"AS Hack Squats",2,45.0,8,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"AS Hack Squats",3,45.0,8,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Romanian Deadlift (Barbell)",1,95.0,5,0,0,"",,
